DESCRIPCION,x,y,z
AEROPORT,4782895.5451947935,173079.91377460337,4205200.259831222
ARC DE TRIOMF,4776060.004389175,181842.8765615187,4212592.987792542
ARENYS DE MAR,4761158.981958236,211973.3580349712,4228024.139250247
BADALONA,4771913.918837947,187396.47208229394,4217045.860733883
BALENYA-ELS HOSTALETS,4744754.766903668,185010.27137078988,4247685.143641561
BALENYA-TONA-SEVA,4742691.378456393,186121.84818575825,4249940.331866357
BARBERA DEL VALLES,4767374.722029299,176340.9434704731,4222652.935003421
BARCELONA-CLOT-ARAGO,4774766.716957935,182637.3360445556,4214024.451779354
BARCELONA-ESTACIO DE FRANÇA,4776632.406020832,182273.28709066566,4211925.329899118
BARCELONA-PASSEIG DE GRACIA,4776117.130465826,180529.38833521638,4212584.714174802
BARCELONA-SANT ANDREU COMTAL,4772840.782354232,182803.73779912989,4216198.446210035
BARCELONA-SANTS,4777151.335045248,178466.19248275767,4211499.806280076
BELLVITGE,4778971.931188188,176510.5421993509,4209516.2415043535
BLANES,4753222.946366399,229897.4708860903,4236009.260270462
BORGONYA,4726149.008922674,185022.3762859642,4268376.499772919
CABRERA DE MAR-VILASSAR DE MAR,4766908.214406155,199904.6102824282,4222129.782502659
CALAFELL,4792593.7287930995,131736.63250551804,4195646.134800952
CALDES D'ESTRAC,4761915.647622347,210170.79324952897,4227261.912949719
CALELLA,4757986.226278352,221519.7901711279,4231105.261180467
CAMPDEVANOL,4714687.757160971,178298.20719609,4281318.1124354815
CANET DE MAR,4760386.064990538,214594.75232759793,4228762.1454272345
CARDEDEU,4757562.3514952995,195987.7053828204,4232841.240709873
CASTELLBELL I EL VILAR-MONISTROL DE MONTSERRAT,4759581.688419567,155246.52008512866,4232261.375121295
CASTELLBISBAL,4770758.033282479,163923.1131907278,4219330.833072177
CASTELLDEFELS,4785014.4668627735,165308.47333872528,4203101.871075382
CENTELLES,4745901.540701304,184199.19192070758,4246439.084897575
CERDANYOLA DEL VALLES,4768757.177794449,178729.01331726692,4220991.186571415
CERDANYOLA UNIVERSITAT,4768640.562572506,176111.0318039771,4221232.967693931
CORNELLA,4778930.194972654,172686.2238561717,4209722.239976164
CUBELLES,4791276.230228021,140187.03433892175,4196876.857752229
CUNIT,4792065.733300192,136493.03455609147,4196097.155372925
EL MASNOU,4769415.503352007,192429.06044430105,4219644.829978352
EL PAPIOL,4773443.45647282,166904.10012880896,4216175.549867202
EL PRAT DE LLOBREGAT,4780820.668533849,174521.2732673024,4207499.463883237
EL VENDRELL,4790582.724685766,128456.23484167556,4198043.810127951
ELS MONJOS,4783225.369457478,138615.8370488746,4206102.280351564
FIGARO,4751310.105943511,188475.10040478763,4240198.7089955425
GARRAF,4787005.011015034,158997.55462820322,4201078.252094361
GAVA,4783129.281862336,167850.04999855568,4205146.407889691
GELIDA,4772888.155695682,155395.81632947607,4217243.942620365
GRANOLLERS-CANOVELLES,4759628.861379633,189276.03827726975,4230823.012291709
GRANOLLERS-CENTRE,4760438.398881559,190470.53339342668,4229858.496976442
GUALBA,4750825.088582109,210643.72279445868,4239698.795648942
HOSTALRIC,4748276.06120736,218234.10236010436,4242169.728006318
LA FARGA DE BEBIE,4721396.298399935,181700.47455705146,4273775.56840344
LA GARRIGA,4754070.771603106,190015.61393135213,4237034.439691558
LA GRANADA,4779428.131013561,144700.50611924677,4210211.892777612
LA LLAGOSTA,4767326.11155541,183093.2672516774,4222420.4290489685
LA MOLINA,4706114.2258911785,160718.79072613304,4291434.962952741
LA SAGRERA-MERIDIANA,4773686.327763182,182456.51909873285,4215256.118060473
L'ARBOÇ,4786364.074167912,133703.88701608285,4202689.364941517
LAVERN-SUBIRATS,4776999.149093462,147576.0895929032,4212867.919294623
LES FRANQUESES DEL VALLES,4758269.665469937,190713.76128211874,4232287.056664192
LES FRANQUESES-GRANOLLERS NORD,4759155.058339613,190692.83595775187,4231292.361805772
L'HOSPITALET DE LLOBREGAT,4778388.125473178,175103.6334558693,4210237.679510325
LLINARS DEL VALLES,4757172.169654834,199860.9216148644,4233098.656817931
MAÇANET-MASSANES,4750948.026034989,225662.84593031963,4238788.130110052
MALGRAT DE MAR,4755949.710989632,227139.98588515556,4233096.437766418
MANLLEU,4730878.329557155,187473.90906520718,4263027.028113628
MANRESA,4752908.681561301,151589.9316108779,4239886.229069646
MARTORELL,4770420.169532668,160475.01637105356,4219845.358934095
MATARO,4764778.036577017,203489.45366776458,4224362.435028542
MOLINS DE REI,4775210.382174518,168429.97832279745,4214113.527950555
MOLLET-SANT FOST,4765570.720275288,184509.82357651426,4224339.890816035
MOLLET-SANTA ROSA,4765322.353195299,183550.5113439964,4224661.851320596
MONTCADA I REIXAC,4769284.081333422,182223.48727831346,4220246.394501718
MONTCADA I REIXAC-MANRESA,4769328.879064917,182014.96095374628,4220204.766997379
MONTCADA I REIXAC-SANTA MARIA,4769316.200762974,182000.88265148914,4220219.702093116
MONTCADA-BIFURCACIO,4770306.509351186,181533.09165461067,4219120.432217716
MONTCADA-RIPOLLET,4768383.683176977,181676.35289081064,4221287.295469578
MONTGAT,4770567.548973364,189267.41724429978,4218485.366044659
MONTGAT-NORD,4770093.812097748,190484.16861312563,4218966.281374566
MONTMELO,4764234.99541217,186892.1715353496,4225741.580218767
OCATA,4769250.7434236,193221.6754173292,4219794.8301526895
PALAUTORDERA,4754589.6432962995,203738.4183738151,4235814.403254598
PARETS DEL VALLES,4763865.293515154,185226.50602147437,4226231.68848915
PINEDA DE MAR,4757325.808366045,223759.61223731714,4231729.961501177
PLAÇA  DE CATALUNYA,4776520.80697258,180682.74355014312,4212120.416704894
PLANOLES,4707955.66275134,172619.03976481355,4288952.298960581
PLATJA DE CASTELLDEFELS,4785921.169150299,163527.5550279513,4202139.095687648
PREMIA DE MAR,4768486.236826717,196030.53130179696,4220529.198817693
PUIGCERDA,4699838.772776698,157933.94178859505,4298409.94531896
RIBES DE FRESER,4708930.059822571,178047.7144636357,4287660.478763992
RIELLS I VIABREA-BREDA,4750107.265400189,213034.35379656113,4240383.592244434
RIPOLL,4716503.059812171,180848.85600794439,4279211.172183963
RUBI,4770387.494042107,169586.011379403,4219525.970948881
SABADELL CENTRE,4764989.494499027,176094.4706664689,4225354.604384773
SABADELL NORD,4763838.253844174,174432.45860178504,4226721.434714858
SABADELL SUD,4766250.055755133,175188.9375528826,4223970.279281601
SANT ADRIA DE BESOS,4773540.444187815,185909.92901197055,4215270.430717224
SANT ANDREU ARENAL,4773164.834334491,181902.29551638901,4215870.574061716
SANT ANDREU DE LLAVANERES,4763001.065828641,207812.7535517932,4226155.508787798
SANT CELONI,4753345.665240642,206826.0602080975,4237060.731879801
SANT CUGAT DEL VALLES,4769848.238041562,173178.97519354,4219989.6334806
SANT FELIU DE LLOBREGAT,4777114.042250187,170750.1843531085,4211861.99678485
SANT JOAN DESPI,4778133.252498022,171808.66517260854,4210662.66542753
SANT MARTI DE CENTELLES,4748709.965295274,186505.06657255176,4243197.521177764
SANT MIQUEL DE GONTERES,4763657.40803186,164139.95882424692,4227337.442279874
SANT POL DE MAR,4759111.774778827,218115.16931862096,4230016.1425407855
SANT QUIRZE DE BESORA-MONTESQUIU,4723234.772587705,182910.6498307597,4271692.013158001
SANT SADURNI D'ANOIA,4775127.41544765,149554.68564564205,4214919.600694975
SANT VICENÇ DE CALDERS,4792962.670579162,127560.05001669719,4195353.733614771
SANT VICENÇ DE CASTELLET,4756628.276532721,154610.62573816205,4235603.696213707
SANTA PERPETUA DE MOGODA,4766486.326784476,182695.03055137477,4223385.644298833
SANTA SUSANNA,4756635.394388609,225679.7966479275,4232404.04880199
SEGUR DE CALAFELL,4792300.868941652,134373.39953052645,4195897.025562079
SITGES,4788392.203448123,151324.95509254216,4199780.5349809015
TERRASSA,4763477.9370303,167547.6820824696,4227405.988988441
TERRASSA EST,4763707.055248752,169572.64458195327,4227067.055070659
TORDERA,4750948.026034989,225662.84593031963,4238788.130110052
TORELLO,4727032.774799063,186550.230631746,4267331.231051525
TORRE DEL BARO,4771061.874441177,181744.4537491112,4218257.130838077
TOSES,4707727.631084822,165643.20371670707,4289477.65569002
URTX-ALP,4703860.099659962,155782.39522059954,4294087.526616954
VACARISSES,4761443.645393086,157375.55837815432,4230087.826919433
VACARISSES-TORREBLANCA,4762522.240087197,159406.60396125194,4228797.3615874965
VIC,4736057.426449873,185989.56600400235,4257337.620249026
VILADECANS,4782610.32875169,169307.10529926623,4205678.212309381
VILADECAVALLS,4764036.169916294,162488.78919306357,4226974.384024212
VILAFRANCA DEL PENEDES,4781088.318715465,142467.25041842338,4208402.695712677
VILANOVA I LA GELTRU,4789979.247354024,144717.63250387652,4198203.341292707
VILASSAR DE MAR,4767411.838116903,198955.51918871593,4221605.943861668
